title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Godzilla,2014,Bush & Kearny,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.4040705 37.7907733),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4040705,2026-02-20T16:37:46.000,37.7907733
The Diary of a Teenage Girl,2015,Hamburger Haven,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.4678211 37.7829633),1,2026-02-20T16:44:43.000,Inner Richmond,-122.4678211,2026-02-20T16:37:46.000,37.7829633
Innerspace,1987,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan,CA,San Francisco,POINT (-122.4785598 37.8199109),,2026-02-20T16:44:43.000,,-122.4785598,2026-02-20T16:37:46.000,37.8199109
Big Trouble in Little China,1986,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,John Carpenter,Gary Goldman,Kurt Russell,Kim Catrall,James Hong,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
The Phone/Jexi,2019,16th St at Sanchez,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4309229 37.7643864),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4309229,2026-02-20T16:37:46.000,37.7643864
The Rock,1996,The San Francisco Bay,,Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,CA,San Francisco,POINT (-122.3863551 37.771241),6,2026-02-20T16:44:43.000,Mission Bay,-122.3863551,2026-02-20T16:37:46.000,37.771241
Looking Season 2 ep 205,2015,"Always Open Car Wash, 2560 Marin Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4031908 37.7486564),10,2026-02-20T16:44:43.000,Bayview Hunters Point,-122.4031908,2026-02-20T16:37:46.000,37.7486564
Always Be My Maybe,2019,19th Ave Home,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4763165 37.7496701),4,2026-02-20T16:44:43.000,Sunset/Parkside,-122.4763165,2026-02-20T16:37:46.000,37.7496701
Women is Losers,2020,Immaculate Conception Academy - 3625 24th St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,CA,San Francisco,POINT (-122.4234988 37.7517472),8,2026-02-20T16:44:43.000,Mission,-122.4234988,2026-02-20T16:37:46.000,37.7517472
Time After Time,1979,Lombard & Broderick Streets (Marina District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4443547 37.7988553),2,2026-02-20T16:44:43.000,Marina,-122.4443547,2026-02-20T16:37:46.000,37.7988553
"Budding Prospects, Pilot",2017,2937 24th Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.4108534 37.7525985),9,2026-02-20T16:44:43.000,Mission,-122.4108534,2026-02-20T16:37:46.000,37.7525985
The Princess Diaries,2001,Cliff House (1090 Point Lobos Avenue),"The Musee Mechanique, which Julie Andrews' character visits in the movie, was at the time housed under the Cliff House.",Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.5137962 37.7783123),1,2026-02-20T16:44:43.000,Outer Richmond,-122.5137962,2026-02-20T16:37:46.000,37.7783123
The Phone/Jexi,2019,Elixir - 3200 16th St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.424317 37.764992),8,2026-02-20T16:44:43.000,Mission,-122.424317,2026-02-20T16:37:46.000,37.764992
So I Married an Axe Murderer,1993,305 Hugo Street,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,CA,San Francisco,POINT (-122.4613046 37.7650596),7,2026-02-20T16:44:43.000,Inner Sunset,-122.4613046,2026-02-20T16:37:46.000,37.7650596
Joy Luck Club,1993,Horace Mann School (3351 23rd Street),,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,CA,San Francisco,POINT (-122.4199151 37.7532586),9,2026-02-20T16:44:43.000,Mission,-122.4199151,2026-02-20T16:37:46.000,37.7532586
Sense8,2015,Z Space Studios; 450 Florida St.,"Filming of the ""Fresh Meat"" Festival","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.411551 37.7637026),9,2026-02-20T16:44:43.000,Mission,-122.411551,2026-02-20T16:37:46.000,37.7637026
Bicentennial Man,1999,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,CA,San Francisco,POINT (-122.4192417 37.779275),5,2026-02-20T16:44:43.000,Tenderloin,-122.4192417,2026-02-20T16:37:46.000,37.779275
Summertime,2015,20th St and Church (3885 20th St),,"Creative Monster Productions, Inc.",12 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.4199806 37.7583974),9,2026-02-20T16:44:43.000,Mission,-122.4199806,2026-02-20T16:37:46.000,37.7583974
The Game,1997,Merchant Exchange Building,,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,CA,San Francisco,POINT (-122.402205 37.7927819),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.402205,2026-02-20T16:37:46.000,37.7927819
A Taiwanese Tale of Two Cities,2018,Palace of Fine Arts (3301 Lyon Street),,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4491285 37.8026694),2,2026-02-20T16:44:43.000,Marina,-122.4491285,2026-02-20T16:37:46.000,37.8026694
Looking,2014,Punjab,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4089185 37.7529521),9,2026-02-20T16:44:43.000,Mission,-122.4089185,2026-02-20T16:37:46.000,37.7529521
Experiment in Terror,1962,2632 Larkin Street at Lombard,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,CA,San Francisco,POINT (-122.4211036 37.8023378),3,2026-02-20T16:44:43.000,Russian Hill,-122.4211036,2026-02-20T16:37:46.000,37.8023378
Shang-Chi and the Legend of the Ten Rings,2021,Stockton Tunnel,,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,CA,San Francisco,POINT (-122.4074218 37.7914957),3,2026-02-20T16:44:43.000,Nob Hill,-122.4074218,2026-02-20T16:37:46.000,37.7914957
DEVS,2020,Tank Hill Park,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.447707 37.7599053),8,2026-02-20T16:44:43.000,Inner Sunset,-122.447707,2026-02-20T16:37:46.000,37.7599053
The Laughing Policeman,1973,,,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Louis Gossett Jr.,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Chance- Season 1 ep106,2016,Grant between Union and Green,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4057559 37.7901568),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4057559,2026-02-20T16:37:46.000,37.7901568
Tweek City,2005,,,Tweek City LLC,Maverick Entertainment Group,Eric G. Johnson,Eric G. Johnson,Giuseppe Andrews,,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Boys and Girls,2000,628 Cole Street,,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4505048 37.769187),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4505048,2026-02-20T16:37:46.000,37.769187
The Phone/Jexi,2019,18th btwn Dolores and Church,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4257032 37.7613966),8,2026-02-20T16:44:43.000,Mission,-122.4257032,2026-02-20T16:37:46.000,37.7613966
Contagion,2011,"UCSF Mission Bay Genentech Building, 600 16th Street at 4th Street",,The Keres Corporation,Warner Bros. Pictures,Steven Soderbergh,Scott Z. Burns,Matt Damon,Laurence Fishburn,Jude Law,CA,San Francisco,POINT (-122.3924635 37.7672951),6,2026-02-20T16:44:43.000,Mission Bay,-122.3924635,2026-02-20T16:37:46.000,37.7672951
Chance Season 2,2017,Presidio Heights Neighborhood,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4473926 37.7899488),2,2026-02-20T16:44:43.000,Presidio Heights,-122.4473926,2026-02-20T16:37:46.000,37.7899488
Quitters,2015,Cal-Mart Supermarket,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.4529153 37.7862725),2,2026-02-20T16:44:43.000,Presidio Heights,-122.4529153,2026-02-20T16:37:46.000,37.7862725
Looking,2014,Starbucks at 333 O'Farrell St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4104463 37.7857289),5,2026-02-20T16:44:43.000,Tenderloin,-122.4104463,2026-02-20T16:37:46.000,37.7857289
Jade,1995,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,CA,San Francisco,POINT (-122.401987 37.7888172),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.401987,2026-02-20T16:37:46.000,37.7888172
The Presidio,1988,700 Block of Jackson Street (Chinatown),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4066266 37.7962124),3,2026-02-20T16:44:43.000,Chinatown,-122.4066266,2026-02-20T16:37:46.000,37.7962124
Surface,2022,Haight Street between Pierce and Fillmore,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4307999 37.772151),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4307999,2026-02-20T16:37:46.000,37.772151
"Murder in the First, Season 3",2016,Ivy Street between Laguna and Gough Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4227533 37.7775156),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4227533,2026-02-20T16:37:46.000,37.7775156
Dirty Harry,1971,Mission Dolores Park (Mission District),"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4266135 37.7608223),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4266135,2026-02-20T16:37:46.000,37.7608223
A Man on The Inside,2024,1201 California St.,,"Universal Television, LLC",Netflix,Morgan Sackett,Michael Schur,Ted Danson,Mary Elizabeth Ellis,Lilah Richcreek Estrada,CA,San Francisco,POINT (-122.4143334 37.7912071),3,2026-02-20T16:44:43.000,Nob Hill,-122.4143334,2026-02-20T16:37:46.000,37.7912071
A Taiwanese Tale of Two Cities,2018,Bernal Heights Park,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4126216 37.7422467),9,2026-02-20T16:44:43.000,Bernal Heights,-122.4126216,2026-02-20T16:37:46.000,37.7422467
Woman on the Run,1950,819 Mason Street at Pine,,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,CA,San Francisco,POINT (-122.41091 37.791162),3,2026-02-20T16:44:43.000,Nob Hill,-122.41091,2026-02-20T16:37:46.000,37.791162
Super Pumped: The Battle for Uber,2022,Harrison Street between Spear and Embarcadero,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,CA,San Francisco,POINT (-122.3888455 37.7898628),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3888455,2026-02-20T16:37:46.000,37.7898628
Jade,1995,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,CA,San Francisco,POINT (-122.4704359 37.7700913),7,2026-02-20T16:44:43.000,Golden Gate Park,-122.4704359,2026-02-20T16:37:46.000,37.7700913
A View to a Kill,1985,Port of San Francisco,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,CA,San Francisco,POINT (-122.3921851 37.7947758),,2026-02-20T16:44:43.000,,-122.3921851,2026-02-20T16:37:46.000,37.7947758
After the Hunt,2024,Potrero Neighborhood House/ 953 Deharo,,Big Indie Helios Inc.,Amazon MGM Studios,Luca Guadagnino,Nora Garrett,Julia Roberts,Ayo Edebiri,Andrew Garfield,CA,San Francisco,POINT (-122.4007361 37.7582806),10,2026-02-20T16:44:43.000,Potrero Hill,-122.4007361,2026-02-20T16:37:46.000,37.7582806
"Murder in the First, Season 2",2015,83 Watchman Way,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3951441 37.7558204),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3951441,2026-02-20T16:37:46.000,37.7558204
Venom,2018,Romolo St and Fresno Pl,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.4063952 37.7986067),3,2026-02-20T16:44:43.000,North Beach,-122.4063952,2026-02-20T16:37:46.000,37.7986067
Shang-Chi and the Legend of the Ten Rings,2021,"Bush between Hyde and Kearny, Sutter between Hyde and Kearny",,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,CA,San Francisco,POINT (-122.4170528 37.7882309),3,2026-02-20T16:44:43.000,Nob Hill,-122.4170528,2026-02-20T16:37:46.000,37.7882309
Super Pumped: The Battle for Uber,2022,Alameda St. between Vermont St. & San Bruno Ave.,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,CA,San Francisco,POINT (-122.4039109 37.7589957),10,2026-02-20T16:44:43.000,Potrero Hill,-122.4039109,2026-02-20T16:37:46.000,37.7589957
Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Milk,2008,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2026-02-20T16:44:43.000,,-122.4785598,2026-02-20T16:37:46.000,37.8199109
Big Eyes,2014,Filbert St. & Leavenworth,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,CA,San Francisco,POINT (-122.4176189 37.800359),3,2026-02-20T16:44:43.000,Russian Hill,-122.4176189,2026-02-20T16:37:46.000,37.800359
D.O.A,1950,Powell & California Streets,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,CA,San Francisco,POINT (-122.4091939 37.7920536),3,2026-02-20T16:44:43.000,Nob Hill,-122.4091939,2026-02-20T16:37:46.000,37.7920536
GirlBoss,2017,Taylor and Union,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4140253 37.7999239),3,2026-02-20T16:44:43.000,Russian Hill,-122.4140253,2026-02-20T16:37:46.000,37.7999239
Dying Young,1991,,,Twentieth Century Fox Corporation,Twentieth Century Fox Corporation,Joel Schumacher,Richard Friedenberg,Julia Roberts,Campbell Scott,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Foul Play,1978,Sutter & Baker Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4432146 37.7848375),2,2026-02-20T16:44:43.000,Presidio Heights,-122.4432146,2026-02-20T16:37:46.000,37.7848375
Quitters,2015,Tonga Room,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.410427 37.792419),3,2026-02-20T16:44:43.000,Nob Hill,-122.410427,2026-02-20T16:37:46.000,37.792419
Age of Adaline,2015,Pier 50- end of the pier,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,CA,San Francisco,POINT (-122.3839187 37.7741508),6,2026-02-20T16:44:43.000,Mission Bay,-122.3839187,2026-02-20T16:37:46.000,37.7741508
"Murder in the First, Season 1",2014,Berry Street between 3rd and 4th Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3964021 37.7733908),6,2026-02-20T16:44:43.000,Mission Bay,-122.3964021,2026-02-20T16:37:46.000,37.7733908
"Budding Prospects, Pilot",2017,2007 Franklin Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.424981 37.7932989),2,2026-02-20T16:44:43.000,Pacific Heights,-122.424981,2026-02-20T16:37:46.000,37.7932989
